bathrooms,bedrooms,floor_area,href,latitude,listing_url,location,longitude,price,title,type
5 ,4 ,750 sqm,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473084.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473084.html,,,"400,000BHD",Outstanding 750 Jetty Villa @ Durrat al Bahrain,Villa
6 ,5 ,"1,000 sqm",/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473103.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473103.html,,,"450,000BHD",Outstanding Open Sea 1000 Jetty Villa @ Durrat,Villa
7 ,5 ,"1,000 sqm",/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-476671.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-476671.html,,,"355,000BHD",للبيع فيلا راقيه في درة البحرين 5 غرف بيج,Villa
6 ,4 ,315 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-342556.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-342556.html,,,"210,000BHD","Private Pool, Garden and 2 Balcony Homes",Villa
1 ,1 ,63 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-382879.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-382879.html,,,"91,888BHD","Direct Access to Beach, Luxurious Life Style",Apartment
,,513 sqm,/en/buy/land-for-sale-northern-governorate-shakhura-431666.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-shakhura-431666.html,,,"132,500BHD",Private Residental Land  in Block 481,Land
5 ,4 ,308 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-428194.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-428194.html,,,"194,000BHD",Four bedroom Villa with facilities,Villa
4 ,3 ,219 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-473192.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-473192.html,,,"219,000BHD",Brand New |Flexible Payment Plan| by 2022,Apartment
,,320 sqm,/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-493983.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-493983.html,,,"95,000BHD",Al Bareh Residential Plots   .,Land
7+ ,6 ,440 sqm,/en/buy/villa-for-sale-central-governorate-sanad-490587.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-central-governorate-sanad-490587.html,,,"165,000BHD",Brand new I Located on two road I Central AC,Villa
2 ,1 ,87 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-471020.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-471020.html,,,"53,000BHD",Spacious with Balcony @Juffair Heights,Apartment
7+ ,7+ ,800 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-442848.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-442848.html,,,"550,000BHD",Beautifully Appointed and Very Spacious!,Villa
4 ,3 ,116 sqm,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493109.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-493109.html,,,"118,888BHD",STUNNING 3 BEDROOM FLAT 5 YEARS PAYMENT PLAN,Apartment
7 ,5 ,500 sqm,/en/buy/villa-for-sale-northern-governorate-saar-493386.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-493386.html,,,"370,000BHD",Luxurios Villa for Sale in Saar – Saraya 1,Villa
6 ,5 ,390 sqm,/en/buy/villa-for-sale-northern-governorate-saar-489618.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-489618.html,,,"330,000BHD",Brand New Villas for Sale in Saar – Saraya 1,Villa
4 ,3 ,214 sqm,/en/buy/apartment-for-sale-northern-governorate-janabiya-488777.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-488777.html,,,"105,000BHD",Luxury Apartment for Sale in Janabiaya Area,Apartment
2 ,3 ,159 sqm,/en/buy/apartment-for-sale-northern-governorate-janabiya-488738.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-northern-governorate-janabiya-488738.html,,,"78,000BHD",Brand new apartment w' gym near Mercado Mall,Apartment
,,385 sqm,/en/buy/land-for-sale-northern-governorate-maqabah-488775.html,,https://www.propertyfinder.bh/en/buy/land-for-sale-northern-governorate-maqabah-488775.html,,,"124,485BHD",Corner Land Available for Sale in Saraya1 Area,Land
2 ,1 ,80 sqm,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-431790.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-431790.html,,,"58,000BHD","Canal view,affordable price, Urgent Sale.",Apartment
5 ,4 ,413 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-414164.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-tala-island-414164.html,,,"330,000BHD",Luxury living beach front villa with pool,Villa
5 ,4 ,568 sqm,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-murjan-423313.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-murjan-423313.html,,,"260,000BHD",Modernly Furnished 4 BR Villa -Smart Tech-New,Villa
4 ,4 ,255 sqm,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-453969.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-453969.html,,,"191,500BHD",Moroccan-Style Freehold Villa with Private Garden,Villa
3 ,3 ,128 sqm,/en/buy/apartment-for-sale-muharraq-governorate-hidd-451083.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-hidd-451083.html,,,"45,000BHD",valuable apartment at  attractive price,Apartment
4 ,3 ,220 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-466253.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-466253.html,,,"220,000BHD",Direct from Developer | Flexible Payment Plan,Apartment
6 ,5 ,715 sqm,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-477991.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-477991.html,,,"550,000BHD",Lagoon Estate Signature 5BR Villa @ Riffa Views,Villa
2 ,1 ,78 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-393865.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-393865.html,,,"58,750BHD",Immediate sale at a Never Before Price!,Apartment
1 ,1 ,36 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-472180.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-472180.html,,,"32,000BHD",Studio flat in Juffair for Sale BD 32K,Apartment
4 ,4 ,268 sqm,/en/buy/villa-for-sale-central-governorate-isa-town-452326.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-central-governorate-isa-town-452326.html,,,"140,000BHD","Villa For Sale in Isa Town 140,000",Villa
3 ,2 ,113 sqm,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-435078.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-435078.html,,,"79,000BHD",Modern & Sleek  Two Bedroom Up for Grabs!,Apartment
1 ,studio ,40 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-409716.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-409716.html,,,"29,000BHD","HurryUp Luxury,Spacious Studio Hot Deal",Apartment
4 ,3 ,500 sqm,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473112.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473112.html,,,"305,000BHD",Gorgeous Luxury Villa W Pool & Private Jetty,Villa
2 ,1 ,85 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-488409.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-488409.html,,,"105,000BHD",Luxurious 1BR City View with 2 Balconies,Apartment
2 ,1 ,78 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-482451.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-482451.html,,,"95,973BHD",Exquisite View 1BR 5 year payment plan,Apartment
3 ,2 ,140 sqm,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-472318.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-472318.html,,,"164,000BHD",Mid-Floor Deluxe 2BR Apartment with Superb Views,Apartment
